timestamp;open;low;high;close;volume
3/24/2022;5325;5250;5350;5350;10400
3/25/2022;5325;5250;5350;5325;11900
3/28/2022;5325;5300;5325;5325;11300
3/29/2022;5300;5250;5325;5325;4100
3/30/2022;5325;5300;5325;5325;16400
3/31/2022;5325;5300;5325;5325;6900
4/1/2022;5325;5300;5325;5325;12100
4/4/2022;5325;5250;5325;5300;11200
4/5/2022;5300;5300;5350;5325;38100
4/6/2022;5325;5325;5775;5750;107000
4/7/2022;5750;5350;5750;5525;43200
4/8/2022;5525;5400;5600;5575;32800
4/11/2022;5575;5400;5575;5500;26100
4/12/2022;5400;5300;5500;5500;14700
4/13/2022;5500;5400;5500;5400;11000
4/14/2022;5500;5325;5500;5325;10900
4/15/2022;5500;5325;5500;5325;0
4/18/2022;5475;5300;5475;5375;12200
4/19/2022;5475;5200;5500;5325;17500
4/20/2022;5400;5200;5475;5375;19300
4/21/2022;5375;5175;5475;5350;24300
4/22/2022;5375;4980;5375;5075;61000
4/25/2022;5250;4990;5300;5075;20400
4/26/2022;5275;4990;5325;5100;22700
4/27/2022;5100;4900;5300;4990;23100
4/28/2022;5200;4990;5200;5000;12200
4/29/2022;5200;4990;5200;5000;0
5/2/2022;5200;4990;5200;5000;0
5/3/2022;5200;4990;5200;5000;0
5/4/2022;5200;4990;5200;5000;0
5/5/2022;5200;4990;5200;5000;0
5/6/2022;5200;4990;5200;5000;0
5/9/2022;5200;5200;5250;5200;11300
5/10/2022;5200;4900;5225;5025;22200
5/11/2022;5200;4860;5200;5125;21400
5/12/2022;5125;4900;5175;5100;21800
5/13/2022;5100;4920;5175;5025;20500
5/16/2022;5100;4920;5175;5025;0
5/17/2022;5025;4700;5150;5025;35000
5/18/2022;5050;4880;5150;4950;21000
5/19/2022;5000;4890;5050;5000;11800
5/20/2022;4890;4890;5000;5000;12300
5/23/2022;5000;4800;5100;5050;19000
5/24/2022;5050;5050;5100;5100;10700
5/25/2022;5075;4860;5075;5050;11700
5/26/2022;5075;4860;5075;5050;0
5/27/2022;5050;4880;5075;5000;20700
5/30/2022;5000;4870;5075;5050;16100
5/31/2022;5050;5000;5050;5025;9700
6/1/2022;5050;5000;5050;5025;0
6/2/2022;5000;4850;5000;4990;2600
6/3/2022;4990;4930;5000;4990;800
6/6/2022;4990;4950;4990;4990;600
6/7/2022;5025;4880;5200;4980;8200
6/8/2022;4980;4920;5000;4920;600
6/9/2022;4990;4850;4990;4930;4500
6/10/2022;4930;4820;5050;4820;6300
6/13/2022;4810;4700;4810;4700;4400
6/14/2022;4700;4580;4800;4580;900
6/15/2022;4580;4580;4580;4580;700
6/16/2022;4580;4580;4580;4580;0
6/17/2022;4460;4460;4600;4600;5200
6/20/2022;4600;4600;4600;4600;1300
6/21/2022;4600;4600;4600;4600;0
6/22/2022;4850;4820;4850;4820;2200
6/23/2022;4750;4700;4750;4700;1600
6/24/2022;4700;4700;4700;4700;100
6/27/2022;4670;4650;4670;4650;300
6/28/2022;4600;4600;4600;4600;1000
6/29/2022;4500;4400;4500;4400;4800
6/30/2022;4400;4400;4400;4400;1600
7/1/2022;4300;4200;4350;4200;1200
7/4/2022;4200;3910;4200;3910;22300
7/5/2022;3910;3640;3910;3700;7600
7/6/2022;3700;3450;3700;3450;15600
7/7/2022;3370;3230;4020;4020;17100
7/8/2022;4100;3900;4100;3900;12900
7/11/2022;3700;3700;3990;3990;1000
7/12/2022;4080;3800;4110;4000;2500
7/13/2022;4090;4020;4090;4020;400
7/14/2022;4020;4020;4020;4020;1000
7/15/2022;4020;3830;4020;3830;10100
7/18/2022;3800;3700;4140;3850;7100
7/19/2022;3810;3810;3980;3980;500
7/20/2022;3980;3930;4110;3980;700
7/21/2022;3980;3980;4120;4000;9400
7/22/2022;4000;4000;4000;4000;800
7/25/2022;4000;4000;4000;4000;200
7/26/2022;3880;3850;3880;3850;400
7/27/2022;3850;3850;3860;3850;300
7/28/2022;3950;3670;4090;3750;4300
7/29/2022;3750;3750;3750;3750;0
8/1/2022;3750;3750;3750;3750;0
8/2/2022;3700;3700;3950;3950;13300
8/3/2022;3960;3750;3980;3750;8300
8/4/2022;3780;3770;3970;3900;1200
8/5/2022;4000;4000;4080;4000;7900
8/8/2022;3990;3990;3990;3990;100
8/9/2022;3990;3830;3990;3900;6100
8/10/2022;3900;3900;3900;3900;200
8/11/2022;3900;3870;4700;4320;29000
8/12/2022;4310;4020;4310;4300;7500
8/15/2022;4300;4000;4300;4000;38500
8/16/2022;4100;3720;4100;3730;56400
8/17/2022;4100;3720;4100;3730;0
8/18/2022;3800;3800;3900;3890;6000
8/19/2022;3890;3620;3920;3800;2300
8/22/2022;3750;3620;3800;3630;18200
8/23/2022;3790;3470;3790;3620;17600
8/24/2022;3750;3490;3800;3640;7900
8/25/2022;3640;3620;3750;3750;2200
8/26/2022;3750;3520;3750;3740;3600
8/29/2022;3700;3600;3700;3600;2700
8/30/2022;3600;3590;3610;3590;2800
8/31/2022;3600;3590;3750;3600;6500
9/1/2022;3600;3600;3700;3700;1100
9/2/2022;3700;3600;3700;3610;3100
9/5/2022;3520;3520;3610;3610;2300
9/6/2022;3510;3510;3730;3540;6300
9/7/2022;3540;3540;3720;3720;3700
9/8/2022;3730;3460;3730;3680;4200
9/9/2022;3730;3730;3760;3740;7600
9/12/2022;3740;3740;3740;3740;0
9/13/2022;3740;3630;3740;3700;13400
9/14/2022;3690;3610;3700;3700;800
9/15/2022;3700;3700;4550;3990;27900
9/16/2022;3980;3850;4310;3850;30100
9/19/2022;3850;3850;4800;4280;49700
9/20/2022;4280;4280;5200;4490;47600
9/21/2022;4510;4430;4700;4700;20900
9/22/2022;4700;4410;4980;4440;19300
9/23/2022;4440;4410;4750;4470;17400
9/26/2022;4470;4350;4490;4370;17100
9/27/2022;4370;4370;4370;4370;600
9/28/2022;4200;4180;4360;4300;11700
9/29/2022;4200;4090;4290;4290;13200
9/30/2022;4290;3990;4300;4090;24200
10/3/2022;4390;3900;4440;4040;4600
10/4/2022;3910;3910;4580;4030;16400
10/5/2022;4360;3910;4450;4180;22700
10/6/2022;4180;3970;4530;4320;32000
10/7/2022;4350;4350;4670;4380;23100
10/10/2022;4350;4210;4550;4500;32900
10/11/2022;4690;4290;4700;4600;3700
10/12/2022;4600;4390;4610;4610;43900
10/13/2022;4600;4600;4600;4600;8700
10/14/2022;4600;4510;4650;4650;34400
10/17/2022;4660;4510;4660;4600;4600
10/18/2022;4600;4490;4670;4650;15300
10/19/2022;4660;4500;4660;4660;11500
10/20/2022;4550;4550;4670;4670;14900
10/21/2022;4670;4560;4710;4670;13300
10/24/2022;4570;4570;4670;4670;11400
10/25/2022;4650;4350;4670;4650;29600
10/26/2022;4660;4460;4660;4630;31100
10/27/2022;4510;4510;4670;4600;20900
10/28/2022;4600;4290;4700;4600;21500
10/31/2022;4600;4510;4600;4590;8900
11/1/2022;4590;4280;4590;4430;19100
11/2/2022;4400;4380;4540;4450;24000
11/3/2022;4400;4360;4400;4370;5400
11/4/2022;4350;4150;4350;4220;8600
